@relation dataset
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute class numeric
@data
42, -55.5375, 0, 159.3375, 45.35, -1.875, 629.175, 442.15, -17.5, 173.6, 21933.61, 13.46848173, 15.53
188, -112.5, 0, 105, 53, -1.25, 658.5, 364, -17.5, 290.8, 90000, 14.56021978, 23.84
15, -80.0625, 0, 152.46, 38.6525, -1.4575, 789.225, 387.74, -62.5, 899.4, 45582.25, 12.43422696, 59.30
73, -89.25, 0, 0, 46.5, 0, 839.25, 394.5, -4.375, 600.5, 56644, 13.6381817, 12.05
41, -116.25, 0, 0, 48, 0, 727.5, 425, -225, 742.8, 96100, 13.85640646, 38.11
38, -83.385, 0, 84.58625, 47.3225, -0.5575, 725.31, 435.16, -17.5, 624.1, 49443.9696, 13.75827024, 24.89
35, -74.475, -132.4, 0, 48, 0, 733.8, 412.75, -4.375, 445.5, 39441.96, 13.85640646, 14.64
146, -159, -22, 115.5, 42, -1.115, 616.5, 375, -1.875, 220, 179776, 12.9614814, 32.11
177, -56.25, -237, 0, 43.5, -1.5, 801.75, 337.5, -17.5, 123, 22500, 13.19090596, 37.43
45, -167.25, -24, 69.125, 40.5, -1.2875, 725.25, 356, -35, 248.5, 198916, 12.72792206, 54.77
27, -88.5, 0, 0, 48.5, 0, 726, 442.5, -17.5, 829.9, 55696, 13.92838828, 18.42
148, -80.0625, 0, 152.46, 39.8025, -1.4575, 782.7, 385.95, -8.75, 88.3, 45582.25, 12.61784451, 29.59
44, -159.375, -106.3, 0, 38.375, -2.0625, 639.075, 443.55, -17.5, 487.7, 180625, 12.38951169, 60.29
162, -202.5, 0, 0, 40.5, -0.3125, 780, 338, -17.5, 666.2, 291600, 12.72792206, 79.99
152, -65.17875, -93.37, 139.9125, 43.085, -1.21625, 755.4, 373.3, -62.5, 662.5, 30209.9161, 13.12783303, 50.94
116, -61.875, -128.5, 115.5875, 43.765, -1.01, 754.35, 373.3, -62.5, 523.3, 27225, 13.23102415, 55.02
176, -61.875, -128.5, 115.5875, 43.765, -1.01, 754.35, 373.3, -1.875, 776.1, 27225, 13.23102415, 19.42
64, -193.5, 0, 0, 40.5, -1.0325, 600.75, 401, -17.5, 377.1, 266256, 12.72792206, 41.37
150, -103.15125, 0, 106.18125, 39.87, -1.2375, 790.2, 388.75, -35, 966.6, 75663.5049, 12.62853911, 56.85
0, -107.7375, -120.5, 82.1625, 46.9, -1.15, 678.3, 347.95, -17.5, 672.1, 82541.29, 13.69671493, 43.80
45, -58.875, -236, 0, 48, 0, 701.55, 390.6, -17.5, 370.9, 24649, 13.85640646, 33.66
220, -111, 0, 93.3625, 55.35, -1.3125, 614.4, 389.2, -17.5, 568.5, 87616, 14.87951612, 31.42
31, -55.875, -139, 95.375, 48.25, -0.75, 669, 390, -17.5, 77.7, 22201, 13.89244399, 23.69
108, -107.625, -121, 82.25, 47, -1.125, 678, 348, -17.5, 324.4, 82369, 13.7113092, 41.94
81, -111.825, 0, 93.625, 52.425, -1.3875, 659.7, 372.1, -17.5, 239.1, 88923.24, 14.48102206, 31.88
1, -106.875, -190, 0, 40.75, -0.95, 773.25, 342.5, -17.5, 378.5, 81225, 12.76714533, 53.58
129, -94.26375, 0, 103.48625, 47.1125, -0.79375, 771.3, 378.865, -17.5, 197.7, 63186.8769, 13.7277092, 32.66
168, -58.875, -236, 0, 48, 0, 701.55, 390.6, -4.375, 767.3, 24649, 13.85640646, 16.89
182, -128.25, -38, 0, 57, 0, 699, 335, -56.25, 120.1, 116964, 15.09966887, 50.46
144, -103.15125, 0, 106.18125, 39.87, -1.2375, 790.2, 388.75, -1.875, 554.6, 75663.5049, 12.62853911, 23.80
159, -142.5, -95, 0, 57, 0, 699, 297, -17.5, 832.6, 144400, 15.09966887, 36.45
39, -178.125, -118.8, 0, 45.275, -1.1125, 639.075, 390.75, -4.375, 187.1, 225625, 13.45734, 55.60
194, -86.23875, 0, 103.52125, 48.8675, -0.57875, 772.05, 379.295, -17.5, 361.4, 52886.2009, 13.98105862, 24.48
50, -114, -76, 0, 57, 0, 699, 335, -168.75, 509.8, 92416, 15.09966887, 54.38
47, -88.5, 0, 0, 48.5, 0, 726, 442.5, -8.75, 303.2, 55696, 13.92838828, 12.84
152, -38.25, -153, 0, 48, 0, 665.25, 471, -1.875, 103.4, 10404, 13.85640646, 4.57
225, -61.875, -128.5, 115.5875, 43.765, -1.01, 754.35, 373.3, -17.5, 120.5, 27225, 13.23102415, 46.39
143, -58.125, 0, 125.125, 48.25, -1.125, 657.75, 434, -17.5, 247.2, 24025, 13.89244399, 9.74
42, -53.8875, -170.2, 116.025, 47.9, -1.0625, 610.575, 402.65, -17.5, 630.8, 20649.69, 13.84196518, 29.87
23, -66.76125, -129.8, 103.775, 44.985, -0.44625, 755.475, 373.4, -1.875, 805.4, 31694.6809, 13.41417161, 20.73
222, -95.25, 0, 0, 49.5, 0, 726, 431.5, -1.875, 633.8, 64516, 14.07124728, 9.31
160, -167.25, -24, 69.125, 40.5, -1.455, 725.25, 356, -4.375, 867.9, 198916, 12.72792206, 38.02
124, -116.25, 0, 0, 48, 0, 759, 415, -17.5, 366.9, 96100, 13.85640646, 27.83
76, -102.225, 0, 78.4, 49.675, -1.325, 698.475, 381.1, -17.5, 367.4, 74310.76, 14.09609875, 32.25
109, -56.625, 0, 161, 41.75, -1.5, 743.25, 386, -17.5, 754, 22801, 12.92284798, 15.57
222, -71.25, -190, 0, 57, 0, 699, 335, -112.5, 178.1, 36100, 15.09966887, 46.93
101, -143.025, 0, 0, 46.425, 0, 828.45, 392.15, -4.375, 472.2, 145465.96, 13.62717872, 14.54
